title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Hansel & Gretel: Witch Hunters,en,1/17/2013,75.4,50000000,226349749,88,Released,"Action, Fantasy, Horror"
Umma,en,3/18/2022,74.957,0,2118582,83,Released,"Horror, Mystery"
The Ring,en,10/18/2002,73.898,48000000,249348933,115,Released,"Horror, Mystery"
Final Destination 5,en,8/12/2011,73.733,47000000,157887643,92,Released,"Horror, Mystery"
Alien: Covenant,en,5/9/2017,73.672,97000000,240891763,122,Released,"Horror, Mystery, Science Fiction"
Insidious,en,9/13/2010,73.643,1500000,97009150,103,Released,"Horror, Thriller"
Aliens vs Predator: Requiem,en,12/25/2007,73.039,40000000,130290885,94,Released,"Action, Fantasy, Horror, Science Fiction, Thriller"
Paranormal Activity: The Marked Ones,en,1/1/2014,73.028,5000000,86362372,84,Released,"Horror, Thriller"
Goosebumps,en,8/5/2015,72.726,58000000,158162788,103,Released,"Adventure, Comedy, Horror"
Freddy vs. Jason,en,8/15/2003,72.488,30000000,116643421,97,Released,Horror
Smile,en,12/1/2013,72.103,10000,0,24,Released,"Horror, Thriller"
Paranormal Activity,en,9/14/2007,71.944,215000,194183034,85,Released,"Horror, Mystery"
No One Gets Out Alive,en,9/29/2021,71.919,0,0,85,Released,"Horror, Mystery, Thriller"
Carrie,en,11/4/2002,71.769,0,0,132,Released,"Drama, Horror, TV Movie"
The Craft: Legacy,en,10/28/2020,71.202,0,0,94,Released,"Drama, Fantasy, Horror"
Trick 'r Treat,en,10/26/2007,70.923,12000000,0,82,Released,Horror
The Texas Chainsaw Massacre: The Beginning,en,10/5/2006,69.979,16000000,107363905,91,Released,"Horror, Thriller"
The Medium,th,7/14/2021,69.784,0,7230000,131,Released,"Horror, Thriller"
The Witch,en,1/27/2015,69.655,3500000,40423945,92,Released,"Drama, Fantasy, Horror, Mystery"
The Cannibal Killer: The Real Story of Jeffrey Dahmer,en,1/15/2020,69.461,0,0,0,Released,Horror
[REC],es,11/23/2007,68.845,1500000,32511655,78,Released,"Horror, Mystery"
Nobody Sleeps in the Woods Tonight,pl,3/13/2020,68.493,0,0,102,Released,"Horror, Thriller"
Get Out,en,2/24/2017,68.431,4500000,255407969,104,Released,"Horror, Mystery, Thriller"
The Ruins,en,4/2/2008,68.279,8000000,22818256,91,Released,Horror
Annabelle,en,10/2/2014,68.243,6500000,257047661,99,Released,Horror
Halloween 4: The Return of Michael Myers,en,10/21/1988,68.198,5000000,17800000,88,Released,"Horror, Thriller"
Insidious: Chapter 2,en,9/12/2013,68.172,5000000,161000000,106,Released,"Horror, Thriller"
Scream,en,12/20/1996,67.783,14000000,173046663,112,Released,"Crime, Horror, Mystery"
The Scientist,en,9/21/2020,67.702,0,0,94,Released,"Drama, Horror"
The Human Centipede (First Sequence),en,4/26/2009,67.63,2011799,252207,92,Released,Horror
Underworld: Awakening,en,1/19/2012,67.467,70000000,160112671,88,Released,"Action, Fantasy, Horror"
Final Destination 3,en,2/9/2006,67.459,25000000,118890272,93,Released,"Horror, Mystery"
Spiral: From the Book of Saw,en,5/12/2021,67.251,20000000,40618920,93,Released,"Crime, Horror, Mystery"
Fear Street: 1666,en,7/14/2021,66.278,0,0,114,Released,"Horror, Mystery"
Scouts Guide to the Zombie Apocalypse,en,10/23/2015,66.029,15000000,14860766,93,Released,"Comedy, Horror"
Witch Hunt,en,10/1/2021,65.909,0,0,92,Released,"Drama, Fantasy, Horror, Thriller"
Attack on Titan,ja,8/1/2015,65.388,0,0,98,Released,"Action, Fantasy, Horror, Science Fiction"
Sinister,en,3/29/2012,65.319,3000000,82515113,110,Released,"Horror, Mystery, Thriller"
Zombieland,en,10/7/2009,65.001,23600000,102391540,88,Released,"Comedy, Horror"
Goosebumps 2: Haunted Halloween,en,10/11/2018,64.989,35000000,93320380,90,Released,"Adventure, Comedy, Family, Fantasy, Horror"
Butchers,en,10/15/2020,64.786,0,0,93,Released,Horror
The Privilege,de,2/9/2022,64.231,0,0,107,Released,Horror
Final Destination 2,en,1/31/2003,64.18,26000000,90941129,90,Released,"Horror, Mystery"
Benny Loves You,en,11/21/2019,63.524,10000,0,94,Released,"Comedy, Horror"
Truth or Dare,en,4/12/2018,63.521,3500000,95330493,101,Released,"Horror, Thriller"
A Quiet Place,en,4/3/2018,63.493,17000000,340677200,91,Released,"Drama, Horror, Science Fiction"
The Shining,en,5/23/1980,63.472,19000000,44781695,144,Released,"Horror, Thriller"
Underworld: Blood Wars,en,11/24/2016,63.45,35000000,81093313,91,Released,"Action, Fantasy, Horror, Thriller"
Hellraiser,en,9/11/1987,63.431,1000000,14575193,93,Released,"Fantasy, Horror"
House of Wax,en,4/30/2005,63.255,40000000,68766121,113,Released,"Horror, Thriller"
The Autopsy of Jane Doe,en,12/21/2016,63.234,0,5972942,86,Released,"Horror, Mystery"
Peninsula,ko,7/15/2020,62.868,17000000,39657073,116,Released,"Action, Horror, Thriller"
The Hills Have Eyes,en,3/10/2006,62.574,15000000,69623713,107,Released,"Horror, Thriller"
Candyman,en,8/25/2021,62.465,25000000,77389310,91,Released,"Horror, Mystery, Thriller"
Dreamcatcher,en,3/5/2021,62.464,0,0,90,Released,"Horror, Mystery, Thriller"
Freddy's Dead: The Final Nightmare,en,9/5/1991,61.784,11000000,34900000,89,Released,"Horror, Thriller"
Friday the 13th,en,2/11/2009,61.753,19000000,91509154,97,Released,Horror
The Purge: Anarchy,en,7/17/2014,61.71,9000000,111928365,104,Released,"Horror, Thriller"
Alone,en,9/10/2020,61.413,0,0,98,Released,"Horror, Thriller"
The Legend of La Llorona,es,10/21/2011,61.125,0,0,81,Released,"Animation, Family, Fantasy, Horror"
Alien,en,5/25/1979,60.982,11000000,104931801,117,Released,"Horror, Science Fiction"
Caged,en,1/26/2021,60.884,0,0,81,Released,"Horror, Thriller"
Terrifier,en,10/15/2016,60.726,100000,0,84,Released,"Horror, Thriller"
Escape Room: Tournament of Champions,en,7/1/2021,60.72,15000000,44888959,88,Released,"Horror, Mystery, Thriller"
Jennifer's Body,en,9/18/2009,60.685,16000000,31556061,107,Released,"Comedy, Horror"
Wrong Turn 6: Last Resort,en,8/22/2014,60.624,1200000,0,91,Released,Horror
Saw II,en,10/28/2005,60.408,4000000,147748505,89,Released,Horror
Megalodon,en,8/10/2018,60.183,130178,5303,90,Released,"Action, Horror, Science Fiction, TV Movie"
Baba Yaga: Terror of the Dark Forest,ru,2/27/2020,59.92,0,0,96,Released,Horror
I See You,en,9/11/2019,59.919,3000000,0,98,Released,"Crime, Horror, Mystery, Thriller"
Halloween II,en,8/28/2009,59.789,10000000,39421467,105,Released,Horror
