title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
1922,en,10/20/2017,24.069,0,0,102,Released,"Crime, Drama, Horror"
The Fly,en,8/15/1986,24.061,15000000,60629159,96,Released,"Horror, Science Fiction"
Paranormal Activity: The Ghost Dimension,en,10/21/2015,24.036,10000000,78096553,88,Released,"Horror, Thriller"
Emelie,en,3/4/2016,23.982,0,0,82,Released,"Horror, Thriller"
The Skeleton Key,en,7/29/2005,23.969,43000000,93983911,104,Released,"Drama, Horror, Mystery, Thriller"
The Haunting in Connecticut 2: Ghosts of Georgia,en,2/1/2013,23.934,9000000,0,101,Released,"Drama, Horror, Thriller"
Ma,en,5/29/2019,23.93,5000000,51749995,99,Released,"Horror, Thriller"
Species III,en,11/26/2004,23.901,0,0,111,Released,"Action, Horror, Science Fiction"
The Amityville Horror,en,7/26/1979,23.878,0,86432000,117,Released,Horror
Leprechaun 4: In Space,en,12/25/1996,23.875,0,0,95,Released,"Comedy, Fantasy, Horror, Science Fiction"
"I, Frankenstein",en,1/22/2014,23.863,65000000,76801179,92,Released,"Horror, Thriller"
The Ghost and the Darkness,en,10/11/1996,23.769,50000000,38619405,109,Released,"Adventure, Horror"
The Divine Fury,ko,7/31/2019,23.732,0,11750306,129,Released,"Action, Horror"
Traffik,en,4/20/2018,23.723,4000000,5132274,96,Released,"Horror, Thriller"
30 Days of Night: Dark Days,en,10/4/2010,23.715,0,0,92,Released,"Horror, Thriller"
The Wretched,en,3/9/2020,23.713,0,3758846,95,Released,"Horror, Mystery, Thriller"
Dominion: Prequel to The Exorcist,en,5/20/2005,23.695,30000000,251495,117,Released,"Drama, Horror"
Maggie,en,5/8/2015,23.679,4000000,187112,95,Released,"Drama, Horror, Mystery"
Ted Bundy,en,11/22/2002,23.585,1200000,68716,99,Released,"Crime, Drama, Horror"
Dangerous Worry Dolls,en,1/22/2008,23.557,0,0,75,Released,"Horror, Science Fiction"
The Lost Boys,en,7/31/1987,23.542,8500000,32222567,97,Released,"Comedy, Horror"
The Cloverfield Paradox,en,2/4/2018,23.516,45000000,0,102,Released,"Action, Horror, Science Fiction, Thriller"
Darlin',en,9/11/2019,23.513,0,0,101,Released,"Horror, Mystery"
Leprechaun: Origins,en,8/22/2014,23.492,0,0,90,Released,Horror
The Collection,en,9/21/2012,23.464,0,6842058,82,Released,"Horror, Thriller"
Satan's Slaves,id,9/28/2017,23.425,147983,0,107,Released,"Drama, Horror, Mystery"
Terrified,es,5/3/2018,23.422,0,0,88,Released,Horror
Poltergeist II: The Other Side,en,5/23/1986,23.377,19000000,40996665,91,Released,"Horror, Thriller"
V/H/S,en,7/28/2012,23.35,0,100345,116,Released,"Horror, Thriller"
Dead Space: Downfall,en,10/27/2008,23.337,0,0,74,Released,"Animation, Horror, Science Fiction, Thriller"
eXistenZ,en,4/14/1999,23.31,15000000,2856712,97,Released,"Action, Horror, Science Fiction, Thriller"
Book of Shadows: Blair Witch 2,en,10/27/2000,23.306,15000000,47737094,90,Released,"Horror, Mystery, Thriller"
Pandorum,en,9/8/2009,23.262,33000000,20648328,108,Released,"Action, Horror, Mystery, Science Fiction, Thriller"
I Still Know What You Did Last Summer,en,11/13/1998,23.219,65000000,40002112,100,Released,"Horror, Mystery, Thriller"
Desconocido,es,10/8/2022,23.139,3000,0,0,Released,"Drama, Horror, Science Fiction"
Maximum Overdrive,en,7/25/1986,23.138,10000000,7433663,97,Released,"Action, Horror, Science Fiction"
Dreamcatcher,en,3/21/2003,23.125,68000000,75700000,136,Released,"Drama, Horror, Science Fiction, Thriller"
